study_word,t_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
police ,,,,0,0,0,12,,,,,0.038156299968250096,,0.008029599965084344,0.038156299968250096,0.038156299968250096,3.761707599973306,1.0185185185185186,3.731785600015428,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
poster ,,,,0,1,1,14,,,,,3.7790967999608256,,3.7621288999798708,3.7790967999608256,3.7790967999608256,5.360713400004897,2.025925925925926,1.572688099986408,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
pastry ,,,,0,2,2,9,,,,,5.378344499971718,,5.361006899969652,5.378344499971718,5.378344499971718,8.440009299956728,1.025925925925926,3.0552446999936365,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
mouse ,,,,0,3,3,8,,,,,8.454229799972381,,8.440206500003114,8.454229799972381,8.454229799972381,11.590166799956933,1.1185185185185185,3.1282502000103705,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
laptop ,,,,0,4,4,5,,,,,11.605504199978895,,11.590530999994371,11.605504199978895,11.605504199978895,13.004194899986032,1.1185185185185185,1.3908280999748968,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
book,,,,0,5,5,0,,,,,13.017975299968384,,13.004436199960764,13.017975299968384,13.017975299968384,15.38593409996247,2.0777777777777775,2.3621852999785915,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
cruise ,,,,0,6,6,11,,,,,15.400990699999966,,15.386143599986099,15.400990699999966,15.400990699999966,17.617907499952707,1.0148148148148148,2.210152300016489,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
keys ,,,,0,7,7,13,,,,,17.631691899965517,,17.61811779998243,17.631691899965517,17.631691899965517,19.583500499953516,1.0148148148148148,1.9446489000110887,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
marble ,,,,0,8,8,3,,,,,19.598077100003138,,19.583709299971815,19.598077100003138,19.598077100003138,22.781133499986026,1.0148148148148148,3.177361300040502,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
case,,,,0,9,9,10,,,,,22.79552419995889,,22.78133579995483,22.79552419995889,22.79552419995889,25.031500299985055,1.0148148148148148,2.2269706000224687,,,,,,,,,,,,,,,844834,001,2024-10-31_11h54.46.562,priming_exp,2024.1.5,None,2024-10-31 11h54.55.855948 +0530,
