letter_association,free_association,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,positive_.started,movie_postive.started,positive_.stopped,letter.started,text_2.started,textbox.started,button.started,mouse.started,letter.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,free_association_.started,text_3.started,textbox_2.started,button_2.started,mouse_2.started,free_association_.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,negative.started,movie_negative.started,negative.stopped,letter_.started,text_4.started,textbox_3.started,button_3.started,mouse_3.started,letter_.stopped,textbox_3.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,free__association_.started,text_5.started,textbox_4.started,button_4.started,mouse_4.started,free__association_.stopped,textbox_4.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.007515700010117143,0.04095049999887124,0.04095049999887124,2.7070219999877736,2.0472222222222225,2.6793137000058778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.7070445000135805,2.8703018999949563,84.3054616000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
  Think of three words starting with 'D' that describe your dream vacation destination:,,0,0,0,1,,,,,,,,,,,,,84.45259930001339,,,,,,,,,,,84.42781600001035,84.45259930001339,84.45259930001339,84.45259930001339,0.017117599985795096,100.31188150000526,"disyney , dreamy , dubai ",1,[15.869630900007905],[15.869640699995216],[0.003703703703703704],[-0.3333333333333333],[1],[0],[0],[15.87076469999738],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
Associate three words that begin with 'C' and relate them to your favorite hobby or activity,,0,1,1,2,,,,,,,,,,,,,100.33535400000983,,,,,,,,,,,100.31349820000469,100.33535400000983,100.33535400000983,100.33535400000983,0.00793409999459982,118.26581869999063,"cooking , crafting  , coloring",1,[17.94362779997755],[17.943633199989563],[0.03518518518518519],[-0.25555555555555554],[1],[0],[0],[17.94363449999946],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
Respond with the first word that comes to mind for the given letters: 'H',,0,2,2,4,,,,,,,,,,,,,118.28130309999688,,,,,,,,,,,118.26648109999951,118.28130309999688,118.28130309999688,118.28130309999688,0.00603899999987334,125.12826309999218,happiness,1,[6.854955499991775],[6.8549631999921985],[-0.049074074074074076],[-0.29259259259259257],[1],[0],[0],[6.855057599983411],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
Connect three words that begin with 'P' to describe your ideal weekend:,,0,3,3,3,,,,,,,,,,,,,125.1455263000098,,,,,,,,,,,125.12906649999786,125.1455263000098,125.1455263000098,125.1455263000098,0.006773499975679442,140.56888030000846,"plantation , peace , party",1,[15.43203860000358],[15.432047599984799],[-0.03981481481481482],[-0.26481481481481484],[1],[0],[0],[15.432205099990824],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
  Name three things you can find in a kitchen that start with the letter 'M':,,0,4,4,0,,,,,,,,,,,,,140.58806489998824,,,,,,,,,,,140.5694269000087,140.58806489998824,140.58806489998824,140.58806489998824,0.009478399995714426,150.71227260000887,"mango , milk , mayo",1,[10.13269999998738],[10.132706800010055],[-0.03611111111111111],[-0.3398148148148148],[1],[0],[0],[10.13255750000826],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,"give two things when you think of a healthy lifestyle, what activities or habits come to mind?",,,,,0,0,0,3,,,,,,,,,150.72983470000327,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.7157162000076,150.72983470000327,150.72983470000327,150.72983470000327,0.007970099977683276,160.65644260001136,"yoga , sleep ",1,[9.93390430000727],[9.933912700013025],[-0.006481481481481481],[-0.29814814814814816],[1],[0],[0],[9.934015799983172],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What are three words that describe your ideal vacation?,,,,,0,1,1,0,,,,,,,,,160.67118619999383,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.65770370000973,160.67118619999383,160.67118619999383,160.67118619999383,0.0048423999978695065,174.6469126000011,"sun , mokm , beach ",0,,,[-0.008333333333333333],[0.017592592592592594],[1],[0],[0],[13.983057500008726],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
,What three things do you associate with a relaxing evening at home?,,,,,0,2,2,4,,,,,,,,,174.66279979998944,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.6474947000097,174.66279979998944,174.66279979998944,174.66279979998944,0.00521809997735545,189.8709547999897,"sleep , tv , dance",1,[15.216879100014921],[15.216887200018391],[-0.010185185185185186],[-0.30833333333333335],[1],[0],[0],[15.217051399988122],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153251,001,2024-11-23_15h42.42.227,Association _task,2024.1.5,None,2024-11-23 15h42.49.621306 +0530,
