letter_association,free_association,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,positive_.started,movie_postive.started,positive_.stopped,letter.started,text_2.started,textbox.started,button.started,mouse.started,letter.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,free_association_.started,text_3.started,textbox_2.started,button_2.started,mouse_2.started,free_association_.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,negative.started,movie_negative.started,negative.stopped,letter_.started,text_4.started,textbox_3.started,button_3.started,mouse_3.started,letter_.stopped,textbox_3.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,free__association_.started,text_5.started,textbox_4.started,button_4.started,mouse_4.started,free__association_.stopped,textbox_4.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.007059199997456744,0.037808099994435906,0.037808099994435906,2.173355900013121,1.9777777777777779,2.145819199999096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.1733795000182,2.4716048999980558,83.97989780001808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
  Name three things you can find in a kitchen that start with the letter 'M':,,0,0,0,0,,,,,,,,,,,,,84.12641329999315,,,,,,,,,,,84.1049112000037,84.12641329999315,84.12641329999315,84.12641329999315,0.028679000010015443,99.30198449999443,"mixer , mug , mustard",1,[15.183055000001332],[15.183062099997187],[0.014814814814814815],[-0.2574074074074074],[1],[0],[0],[15.183367000019643],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
Connect three words that begin with 'P' to describe your ideal weekend:,,0,1,1,3,,,,,,,,,,,,,99.32389100000728,,,,,,,,,,,99.30583009999827,99.32389100000728,99.32389100000728,99.32389100000728,0.010861500020837411,119.3561641999986,"peace , painting , productive",1,[20.038575900020078],[20.038589200004935],[0.02962962962962963],[-0.3296296296296296],[1],[0],[0],[20.038753600005293],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
  Think of three words starting with 'D' that describe your dream vacation destination:,,0,2,2,1,,,,,,,,,,,,,119.3749374000181,,,,,,,,,,,119.35701579999295,119.3749374000181,119.3749374000181,119.3749374000181,0.009737000014865771,138.52764970000135,"dreamy , diverse , dazzling",1,[19.159611500013852],[19.159630200010724],[0.022222222222222223],[-0.3296296296296296],[1],[0],[0],[19.16007390001323],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
Associate three words that begin with 'C' and relate them to your favorite hobby or activity,,0,3,3,2,,,,,,,,,,,,,138.5497028999962,,,,,,,,,,,138.5287193999975,138.5497028999962,138.5497028999962,138.5497028999962,0.010825200006365776,152.554836299998,"color , creativity , craft",1,[14.014368699979968],[14.014385399990715],[0.022222222222222223],[-0.3296296296296296],[1],[0],[0],[14.014508799999021],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
Respond with the first word that comes to mind for the given letters: 'H',,0,4,4,4,,,,,,,,,,,,,152.57195869999123,,,,,,,,,,,152.55571590000181,152.57195869999123,152.57195869999123,152.57195869999123,0.007336999988183379,161.1161759000097,happy,1,[8.55181169998832],[8.551825999980792],[0.022222222222222223],[-0.3296296296296296],[1],[0],[0],[8.552270600019256],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,"give two things when you think of a healthy lifestyle, what activities or habits come to mind?",,,,,0,0,0,3,,,,,,,,,161.1367409999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.11904760001926,161.1367409999948,161.1367409999948,161.1367409999948,0.00920659999246709,169.14080710001872,"yoga , gym ",1,[8.014015699998708],[8.014023099996848],[0.017592592592592594],[-0.3296296296296296],[1],[0],[0],[8.01408310001716],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What are the first three things that come to mind when you think of family?,,,,,0,1,1,2,,,,,,,,,169.15746799999033,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.1423427000118,169.15746799999033,169.15746799999033,169.15746799999033,0.008364900015294552,183.25009330001194,"peace , comfort , home",1,[14.098621700017247],[14.098637700022664],[0.017592592592592594],[-0.3296296296296296],[1],[0],[0],[14.09875419997843],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
,What are the first three words you think of when imagining your future job?,,,,,0,2,2,1,,,,,,,,,183.27606010000454,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.25156699999934,183.27606010000454,183.27606010000454,183.27606010000454,0.011848599999211729,201.3585424000048,"salary , placement , psychology",1,[18.094367000012426],[18.09437770000659],[0.008333333333333333],[-0.33055555555555555],[1],[0],[0],[18.094210799987195],['button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particpant 2,001,2024-11-23_15h19.03.416,Association _task,2024.1.5,None,2024-11-23 15h19.21.849546 +0530,
