stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.021438000025227666,,0.004198100010398775,0.021438000025227666,0.5586926999967545,0.5586926999967545,0.5719849999877624,0.8726275999797508,1.7110927000176162,left,-10.0,0,0,1.1430061000282876,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
1,2,12.0,1.7204742999747396,,1.711211399990134,1.7204742999747396,2.2218602999928407,2.2218602999928407,2.2218602999928407,2.520732200006023,2.8395117999752983,right,12.0,0,0,0.6051527999807149,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
2,2,14.0,2.8531178000266664,,2.839603399974294,2.8531178000266664,3.3539384999894537,3.3539384999894537,3.3539384999894537,3.6547797999810427,3.771191000007093,left,-14.0,0,0,0.4100036000018008,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
3,2,16.0,3.786747300007846,,3.7712619000230916,3.786747300007846,4.2869204999879,4.2869204999879,4.2869204999879,4.586556399997789,4.671602200018242,right,16.0,0,0,0.38313660002313554,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
4,2,18.0,4.686021699977573,,4.671705899992958,4.686021699977573,5.18684390000999,5.18684390000999,5.18684390000999,5.485758099996019,5.604007499990985,right,18.0,0,0,0.4092325000092387,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
5,2,20.0,5.618940600019414,,5.604105399979744,5.618940600019414,6.119051899993792,6.119051899993792,6.119051899993792,6.42053639999358,6.53734350000741,right,20.0,0,0,0.4160384999704547,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
6,2,20.0,6.550973800010979,,6.537443500012159,6.550973800010979,7.051584900007583,7.051584900007583,7.051584900007583,7.351423399988562,7.420336499984842,right,20.0,0,0,0.3645927000325173,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
7,2,20.0,7.434051099990029,,7.420446300006006,7.434051099990029,7.934564600000158,7.934564600000158,7.934564600000158,8.234811900008935,8.402010800025892,left,-20.0,0,0,0.46155319997342303,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
8,2,20.0,8.416752399993129,,8.402110799972434,8.416752399993129,8.916991600010078,8.916991600010078,8.916991600010078,9.216977400006726,9.450936699984595,left,-20.0,0,0,0.5179180999984965,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
9,2,20.0,9.466548099997453,,9.451035599980969,9.466548099997453,9.949746700003743,9.949746700003743,9.966183100012131,10.250173099979293,10.418239500024356,right,20.0,0,0,0.462881000014022,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
