stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,key,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.0252980999648571,,0.006892499979585409,0.0252980999648571,0.5235526999458671,0.5235526999458671,0.5407162999035791,0.8237458999501541,1.144752599997446,right,10.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.5619247000431642,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
1,2,8.0,1.15527469990775,,1.1448450000025332,1.15527469990775,1.6566747999750078,1.6566747999750078,1.6566747999750078,1.9571905999910086,2.3247830999316648,left,-8.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.6600917000323534,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
2,2,6.0,2.3396710999077186,,2.3248656999785453,2.3396710999077186,2.823755999910645,2.823755999910645,2.841055699973367,3.123042599996552,3.5069615999236703,left,-6.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.6676923999330029,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
3,2,4.0,3.523568099946715,,3.507020399905741,3.523568099946715,4.0217648999532685,4.0217648999532685,4.039333499968052,4.322090599918738,4.6060739000095055,right,4.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.5710010000038892,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
4,2,2.0,4.621241000015289,,4.606150100007653,4.621241000015289,5.121253399993293,5.121253399993293,5.121253399993293,5.421587899909355,5.788585899979807,right,2.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.6575601999647915,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
5,2,1.0,5.804537000018172,,5.788674599956721,5.804537000018172,6.304222099948674,6.304222099948674,6.320189799997024,6.603303299983963,7.054906599922106,left,-1.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.7378688000608236,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
6,2,1.0,7.069859499926679,,7.054990499978885,7.069859499926679,7.555110499961302,7.555110499961302,7.571411699987948,7.871018999954686,8.353979400009848,left,-1.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.7970681999577209,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
7,2,1.0,8.369513400015421,,8.35403829999268,8.369513400015421,8.869699199916795,8.869699199916795,8.869699199916795,9.168815299984999,9.603062000009231,left,-1.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.7313958000158891,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
8,2,1.0,9.618384499917738,,9.603130299947225,9.618384499917738,10.10235299996566,10.10235299996566,10.11895299993921,10.403283999999985,10.751911700004712,right,1.0,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,1,0.6479795000050217,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
9,1,1.0,10.767915899981745,,10.751983599970117,10.767915899981745,11.26728919998277,11.26728919998277,11.26728919998277,11.567652800003998,12.070431199972518,left,-1.0,0,<psychopy.hardware.keyboard.Keyboard object at 0x0000023800222340>,0,0.7921426999382675,866479,001,2024-09-09_08h30.16.298,adaptive_staircasepsy,2024.1.5,None,2024-09-09 08h30.20.573335 +0530,
