trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02257210001698695,,0.00974910001968965,0.02257210001698695,1.0214373000198975,1.038517300010426,2.1961296000226866,down,1,1.1547214000020176,None,-3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
1,0,1,0,2.2045616000250448,,2.197760700015351,2.2045616000250448,3.203794100001687,3.203794100001687,4.189847600006033,down,0,0.9735675000119954,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
2,0,2,0,4.203460900025675,,4.190994900010992,4.203460900025675,5.202769000025,5.202769000025,6.28817670000717,up,1,1.0793042000150308,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
3,0,3,0,6.302119400002994,,6.289351900020847,6.302119400002994,7.301033399999142,7.301033399999142,8.088056300010066,up,1,0.7838514000177383,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
4,0,4,0,8.100674600020284,,8.089168100006646,8.100674600020284,9.100692500011064,9.100692500011064,9.886896900017746,down,1,0.7798343999893405,None,-5,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
5,0,5,0,9.900029800017364,,9.888363300007768,9.900029800017364,10.899421900016023,10.899421900016023,11.969681600021431,up,1,1.0669739999866579,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
6,0,6,0,11.981877200014424,,11.97091870001168,11.981877200014424,12.980974700010847,12.980974700010847,13.76747510000132,down,1,0.7762455000192858,None,-4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
7,0,7,0,13.780620100005763,,13.76854170000297,13.780620100005763,14.780938400013838,14.780938400013838,15.621076100011123,down,1,0.8239361000014469,None,-3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
8,0,8,0,15.63148180002463,,15.623286500020185,15.63148180002463,16.62947380001424,16.64565040002344,17.415389400004642,up,0,0.7806786000146531,None,-1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
9,0,9,0,17.42873050001799,,17.41733570001088,17.42873050001799,18.4274666000274,18.4274666000274,19.21373630000744,down,1,0.7772871000051964,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
10,0,10,0,19.227054300019518,,19.21489610002027,19.227054300019518,20.227201200003037,20.227201200003037,21.162272000015946,up,1,0.9209692000003997,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
11,0,11,0,21.176889599999413,,21.16328350000549,21.176889599999413,22.175821600016207,22.191915100003826,23.463958800013643,up,1,1.278673599998001,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
12,0,12,0,23.47525100002531,,23.46637060001376,23.47525100002531,24.473470600001747,24.473470600001747,26.208270200004335,up,0,1.726388400013093,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
13,0,13,0,26.22320400000899,,26.209947800001828,26.22320400000899,27.22267830002238,27.22267830002238,28.84056350000901,up,1,1.6131110000133049,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
14,0,14,0,28.854175600019516,,28.84157660001074,28.854175600019516,29.853638900007354,29.853638900007354,30.656207000021823,down,1,0.7999927999917418,None,3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
15,0,15,0,30.670108100021025,,30.657192200014833,30.670108100021025,31.66936810000334,31.66936810000334,32.388224200025434,up,1,0.7033123000001069,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
16,0,16,0,32.40219470000011,,32.389204600011,32.40219470000011,33.40146420002566,33.40146420002566,34.15354460000526,up,1,0.7373746000230312,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
